report_date,report_file,short_count,short_market_value,short_cost_market_value,short_pnl,smt_current_price,smt_price_source,smt_pnl,pair_pnl,smt_otc_pnl,smt_otc_current_usd_price,smt_otc_current_fx,smt_otc_fx_source,smt_swap_long_count,smt_swap_long_quantity,smt_swap_long_market_value_usd,smt_swap_long_cost_usd,smt_swap_long_pnl,daily_pair_pnl_change
2026-05-29,reports/20260529_1800_JMLNKWGE_Report.xlsx,30,-4601284.72,-4385265.2299999995,-216019.49000000022,1522.0,Yahoo SMT.L close (fallback),398412.19646335253,182392.7064633523,165526.5147948484,20.46249085187912,1.3444474935531616,Yahoo GBPUSD=X close,1,230000.0,4718635.550577125,4485749.86890862,232885.68166850414,76532.36035026662
2026-06-01,reports/20260601_1800_JMLNKWGE_Report.xlsx,30,-4704370.0600000005,-4385265.2299999995,-319104.830000001,1527.0,Yahoo SMT.L close (fallback),408047.8359022418,88943.00590224081,179593.62265542505,20.553422970771788,1.3460001945495605,Yahoo GBPUSD=X close,1,230000.0,4719384.669961543,4490930.456714726,228454.21324681677,-93449.7005611115
2026-06-02,reports/20260602_1800_JMLNKWGE_Report.xlsx,30,-4647314.31,-4385265.2299999995,-262049.08000000007,1545.0,Yahoo SMT.L close (fallback),514139.96938165126,252090.88938165118,215697.35835390573,20.78680350780487,1.3454241752624512,Yahoo GBPUSD=X close,1,230000.0,4787451.179045419,4489008.568017674,298442.61102774553,163147.88347941038
2026-06-03,reports/20260603_1800_JMLNKWGE_Report.xlsx,30,-4555962.670000001,-4385265.2299999995,-170697.44000000134,1533.5,Yahoo SMT.L close (fallback),444489.3733524047,273791.93335240334,185333.3881611787,20.590525767207147,1.3427144289016724,Yahoo GBPUSD=X close,1,230000.0,4739123.482850313,4479967.497659087,259155.985191226,21701.04397075216
2026-06-04,reports/20260604_1800_JMLNKWGE_Report.xlsx,30,-4635911.289495219,-4385265.2299999995,-250646.05949521903,1510.0,Yahoo SMT.L close (fallback),325493.89338088606,74847.83388566703,136486.2974231533,20.274770069122315,1.3427000045776367,Yahoo GBPUSD=X close,1,230000.0,4668926.96685102,4479919.3708932875,189007.59595773276,-198944.0994667363
2026-06-05,reports/20260605_1800_JMLNKWGE_Report.xlsx,30,-4423278.020843576,-4385265.2299999995,-38012.79084357619,1480.0,Yahoo SMT.L close (fallback),151018.763909243,113005.9730656668,74171.99302070677,19.871960067749026,1.3427000045776367,Yahoo GBPUSD=X close,1,230000.0,4556766.141781824,4479919.3708932875,76846.77088853624,38158.139179999765
2026-06-08,reports/20260608_1800_JMLNKWGE_Report.xlsx,30,-4464928.411488647,-4385265.2299999995,-79663.18148864713,1438.0,Yahoo SMT.L close (fallback),-69345.77183019434,-149008.95331884146,-33904.775770132146,19.173333904743195,1.3333333730697632,Yahoo GBPUSD=X close,1,230000.0,4413226.603187227,4448667.599247289,-35440.9960600622,-262014.92638450826
2026-06-09,reports/20260609_1800_JMLNKWGE_Report.xlsx,30,-4474494.575529294,-4385265.2299999995,-89229.34552929457,1427.0,Yahoo SMT.L close (fallback),-112786.4933679103,-202015.83889720487,-48013.5976969813,19.08213213920593,1.3372201919555664,Yahoo GBPUSD=X close,1,230000.0,4396863.077120934,4461635.972791863,-64772.89567092899,-53006.885578363406
2026-06-10,reports/20260610_1800_JMLNKWGE_Report.xlsx,30,-4351385.829631542,-4385265.2299999995,33879.40036845766,1409.0,Yahoo SMT.L close (fallback),-202845.45231877122,-168966.05195031356,-87469.67667077058,18.82708149909973,1.3362016677856445,Yahoo GBPUSD=X close,1,230000.0,4342861.890639803,4458237.666287804,-115375.77564800065,33049.78694689131
2026-06-11,reports/20260611_1800_JMLNKWGE_Report.xlsx,30,-4472446.746752982,-4385265.2299999995,-87181.51675298251,1426.0,Yahoo SMT.L close (fallback),-130667.53170364906,-217849.04845663157,-52329.13616395926,19.05423578262329,1.3362016677856445,Yahoo GBPUSD=X close,1,230000.0,4379899.270748114,4458237.666287804,-78338.39553968981,-48882.99650631801
